borrower_id,loan_segment,default_flag,Persistent EPS in the Last Four Seasons,Net Income to Stockholder's Equity,Borrowing dependency,ROA(A) before interest and % after tax,Debt ratio %,Interest Expense Ratio,Equity to Liability,Interest Coverage Ratio (Interest expense to EBIT),Retained Earnings to Total Assets,Degree of Financial Leverage (DFL),Net Value Per Share (B),ROA(C) before interest and depreciation before interest,Total income/Total expense,Pre-tax net Interest Rate,Non-industry income and expenditure/revenue,Current Liabilities/Equity,Working Capital to Total Assets,Current Liability to Current Assets,Tax rate (A),Operating Profit Per Share (Yuan ¥),Working Capital/Equity,Inventory/Working Capital,Operating profit per person,Working capitcal Turnover Rate,Current Liability to Assets,Operating Profit Rate,Cash/Total Assets,Operating Funds to Liability,Operating Gross Margin,Total Asset Growth Rate,gst_sentiment,call_sentiment,gst_delay_flag,call_stress_flag,unstructured_risk_score,structured_x_unstructured_risk
MSME00000,MSME,1,0.16914058806845,0.82789021403512,0.390284354359258,0.424389446140427,0.207576261450555,0.629951302036958,0.0164687409123162,0.564050112276341,0.903224771166726,0.0266006307607414,0.147949938898487,0.370594257300249,0.0020216130120256,0.796887145860514,0.302646433889668,0.339077006789355,0.67277529248986,0.11825047660899,0.0,0.0959205276443286,0.721274551521743,0.276920158240506,0.392912869451166,0.593830503987655,0.147308450425486,0.998969203197885,0.004094405952288,0.334015171333379,0.601457213277793,4980000000.0,-0.2263,0.0,1,1,0.6566,0.11105771012574427
MSME00001,MSME,1,0.2089439349532,0.839969268005573,0.376760019951553,0.53821412996075,0.171176346101521,0.635172463390912,0.020794306334635,0.570174946412453,0.931065217577487,0.264576819837375,0.182251064009102,0.464290937454297,0.0022256083431017,0.797380191277827,0.303556430290771,0.329740147869877,0.751110917003808,0.0477752815903248,0.0,0.0937220096083381,0.731975288512351,0.28964157642601,0.39158996856697,0.59391554785427,0.0569628274180797,0.998945978205482,0.0149477269714099,0.341105991992958,0.610235085544617,6110000000.0,-0.2732,-0.6808,1,1,0.7704,0.16097040748794528
MSME00002,MSME,1,0.180580504869056,0.836774308550174,0.379092920106557,0.499018752725687,0.207515796474892,0.629631443404885,0.0164741143272785,0.563706076496047,0.90990336247412,0.0265547199199004,0.177910749652353,0.426071271876371,0.0020600706495246,0.796403369254357,0.302035177342951,0.334776851319847,0.829501914934622,0.0253464891288078,0.0,0.0923377575116033,0.742728637603645,0.277455528130626,0.381967843332353,0.594501851296042,0.0981620645437837,0.998857353483229,0.0009909444511248,0.33673149472,0.601450006486113,7280000000.0,-0.4588,-0.8689,1,1,0.845,0.15259052661435232
MSME00003,MSME,1,0.193722227474709,0.834697106753341,0.379742687599394,0.451264718709115,0.151464764035432,0.63022835303626,0.0239823322073886,0.564663420271241,0.906902158837211,0.0266966344214761,0.154186507100417,0.399844001364988,0.0018313585555101,0.796966968308828,0.303349536022685,0.33150897867186,0.725754179688242,0.0672496172630687,0.0,0.0777623971989252,0.729824908743367,0.276580304232685,0.378496641866986,0.593888792576566,0.0987146304496934,0.998699747067122,0.0188506248270314,0.348716438967482,0.583541129160121,4880000000.0,0.0,0.0,1,1,0.6,0.1162333364848254
MSME00004,MSME,1,0.212536636097192,0.839972745788203,0.375025442703033,0.538432184910597,0.106509054630105,0.636054985548143,0.0354902008836198,0.575616645216918,0.91385019745186,0.0247518480523254,0.167502422991024,0.465022181055916,0.0022239300347802,0.797366080550396,0.303474977757658,0.33072631939891,0.751822452472965,0.0477253717624306,0.0,0.0968976467714356,0.731999641010921,0.287912652687691,0.39437145247733,0.59391526090563,0.110194845896651,0.998973131803565,0.0141609737513009,0.344638753643605,0.598783493564335,5510000000.0,-0.2263,-0.8689,1,1,0.7869,0.1672450789448804
MSME00005,MSME,1,0.174435095017491,0.829938957445841,0.38144818747302,0.415176624509376,0.180427487377936,0.630183833098177,0.0195344778286463,0.56453833936354,0.903041267113845,0.026675365750547,0.15557709325355,0.388680349046946,0.0018656086149692,0.796903193354456,0.303115813175443,0.335534372009755,0.686728646249993,0.099521933114496,0.0,0.0780881035746275,0.725201638712989,0.276678474304155,0.377569480563533,0.593845782013285,0.13900210638427,0.998758098416194,0.0026452256427289,0.350563146827406,0.590171377506162,608000000.0,-0.296,-0.6249,1,1,0.7677,0.13391382244492783
MSME00006,MSME,0,0.161482461945731,0.829979763773696,0.384998982291879,0.445704317488007,0.216101823019016,0.629987945370611,0.0156630746538442,0.564200119780965,0.911441407767521,0.0266222980418273,0.158821794277527,0.390922829425243,0.002120735670224,0.797011928959958,0.302814414633032,0.337392013222506,0.729416462238773,0.060765124792415,0.0,0.0999104307466819,0.728730796471968,0.276643291966357,0.393172926889939,0.593893372221075,0.115920411679634,0.998993121473643,0.0229885979786101,0.340080536914882,0.619949840729904,5720000000.0,-0.296,0.9156,0,1,0.4367,0.07051939113170072
MSME00007,MSME,0,0.22520563486811,0.841459439726482,0.374219104729994,0.570922372437854,0.108202073948665,0.631379022205175,0.0348885561799154,0.566088941755739,0.935449309245632,0.0270305165537491,0.176983692216931,0.508360551845171,0.0023599992361997,0.797448808148475,0.303544587044117,0.329803725937385,0.797005213929915,0.0302011045942807,0.157607045247495,0.104796026382216,0.734946410014,0.277275204970332,0.396463218832681,0.593937091602204,0.0870418011288855,0.999008951443589,0.0146159133960059,0.353510615216168,0.601738278153332,6630000000.0,0.0,0.6319,0,1,0.4052,0.09125332324855817
MSME00008,MSME,0,0.218398411647915,0.840486633095349,0.370253398138601,0.545137374618404,0.058590561417299,0.630914987465925,0.0658264974662765,0.565591901310376,0.935200209287994,0.0268906304546816,0.184189456828621,0.48851947545459,0.0022739602931646,0.797413531329896,0.303583500568838,0.328092755880752,0.813737522948239,0.021710461445184,0.0058710395789047,0.0951876882989984,0.735182054757404,0.277087430376265,0.391940480767056,0.593958847705178,0.0580597284096259,0.998960768250395,0.145189217702725,0.345440818559694,0.603612043990256,6890000000.0,-0.296,0.8255,0,0,0.3502,0.07648312375909982
MSME00009,MSME,0,0.217831143046232,0.840688177069564,0.374508760118367,0.550915830789359,0.121292741179672,0.6321882576951,0.0308008650901007,0.566667622359207,0.938289896761562,0.0272430149466587,0.177447220934642,0.495685662750451,0.0022691962830507,0.797403570816415,0.303482953821731,0.330409487644987,0.825695870708439,0.0254943019553504,0.392448628403685,0.109844475205602,0.737180245673185,0.277337460862513,0.396372764071369,0.593935897992759,0.0945633028255581,0.999000632043326,0.0087727909152724,0.361043540430989,0.599208694273483,5550000000.0,-0.296,0.6319,0,1,0.4792,0.10438468374775438
